Date,Weekly U.S. Product Supplied of Distillate Fuel Oil  (Thousand Barrels per Day)
1991-02-08,3139
1991-02-15,3121
1991-02-22,2847
1991-03-01,2964
1991-03-08,3338
1991-03-15,3699
1991-03-22,2946
1991-03-29,3026
1991-04-05,3106
1991-04-12,2789
1991-04-19,2790
1991-04-26,2610
1991-05-03,2877
1991-05-10,2891
1991-05-17,2933
1991-05-24,2806
1991-05-31,2346
1991-06-07,2916
1991-06-14,2795
1991-06-21,2675
1991-06-28,3089
1991-07-05,2914
1991-07-12,2055
1991-07-19,3121
1991-07-26,2682
1991-08-02,2787
1991-08-09,2755
1991-08-16,2959
1991-08-23,2841
1991-08-30,2876
1991-09-06,2774
1991-09-13,2826
1991-09-20,2987
1991-09-27,3053
1991-10-04,3417
1991-10-11,3086
1991-10-18,3233
1991-10-25,3054
1991-11-01,2977
1991-11-08,3408
1991-11-15,3025
1991-11-22,3087
1991-11-29,2879
1991-12-06,2915
1991-12-13,3279
1991-12-20,3616
1991-12-27,3026
1992-01-03,3188
1992-01-10,3242
1992-01-17,3727
1992-01-24,3561
1992-01-31,3665
1992-02-07,3386
1992-02-14,3723
1992-02-21,3176
1992-02-28,3266
1992-03-06,3305
1992-03-13,2629
1992-03-20,3300
1992-03-27,3226
1992-04-03,3386
1992-04-10,3418
1992-04-17,2757
1992-04-24,2819
1992-05-01,3222
1992-05-08,3208
1992-05-15,2825
1992-05-22,2744
1992-05-29,2295
1992-06-05,3170
1992-06-12,2620
1992-06-19,2842
1992-06-26,2353
1992-07-03,2814
1992-07-10,2597
1992-07-17,3069
1992-07-24,2538
1992-07-31,2912
1992-08-07,2808
1992-08-14,2519
1992-08-21,2789
1992-08-28,2747
1992-09-04,3020
1992-09-11,2179
1992-09-18,2994
1992-09-25,2917
1992-10-02,3412
1992-10-09,3226
1992-10-16,3516
1992-10-23,2989
1992-10-30,3122
1992-11-06,3179
1992-11-13,2822
1992-11-20,3628
1992-11-27,3355
1992-12-04,2649
1992-12-11,3507
1992-12-18,3740
1992-12-25,3158
1993-01-01,2832
1993-01-08,2857
1993-01-15,3194
1993-01-22,3626
1993-01-29,3815
1993-02-05,3980
1993-02-12,3392
1993-02-19,3374
1993-02-26,3735
1993-03-05,4052
1993-03-12,3159
1993-03-19,3444
1993-03-26,3694
1993-04-02,2998
1993-04-09,2915
1993-04-16,3344
1993-04-23,2713
1993-04-30,3358
1993-05-07,2997
1993-05-14,3014
1993-05-21,3098
1993-05-28,2989
1993-06-04,3058
1993-06-11,2674
1993-06-18,2752
1993-06-25,3155
1993-07-02,2865
1993-07-09,2481
1993-07-16,2843
1993-07-23,3069
1993-07-30,3152
1993-08-06,3338
1993-08-13,3061
1993-08-20,2672
1993-08-27,3305
1993-09-03,2979
1993-09-10,2855
1993-09-17,3103
1993-09-24,3341
1993-10-01,3325
1993-10-08,3227
1993-10-15,3432
1993-10-22,3485
1993-10-29,3056
1993-11-05,3796
1993-11-12,3305
1993-11-19,3429
1993-11-26,3124
1993-12-03,2965
1993-12-10,3700
1993-12-17,3865
1993-12-24,3057
1993-12-31,3103
1994-01-07,4002
1994-01-14,4212
1994-01-21,4277
1994-01-28,4436
1994-02-04,4410
1994-02-11,3965
1994-02-18,3685
1994-02-25,3432
1994-03-04,3441
1994-03-11,3395
1994-03-18,3405
1994-03-25,3314
1994-04-01,2903
1994-04-08,3527
1994-04-15,2954
1994-04-22,3649
1994-04-29,3259
1994-05-06,3219
1994-05-13,2906
1994-05-20,3423
1994-05-27,3052
1994-06-03,2870
1994-06-10,3070
1994-06-17,2850
1994-06-24,3075
1994-07-01,2788
1994-07-08,2302
1994-07-15,2754
1994-07-22,3037
1994-07-29,2780
1994-08-05,3295
1994-08-12,2970
1994-08-19,2846
1994-08-26,3579
1994-09-02,2782
1994-09-09,2624
1994-09-16,2764
1994-09-23,3394
1994-09-30,3353
1994-10-07,2997
1994-10-14,3501
1994-10-21,3092
1994-10-28,3488
1994-11-04,3369
1994-11-11,3055
1994-11-18,3647
1994-11-25,2927
1994-12-02,3132
1994-12-09,3826
1994-12-16,3152
1994-12-23,3680
1994-12-30,2921
1995-01-06,3264
1995-01-13,3404
1995-01-20,3207
1995-01-27,3648
1995-02-03,3301
1995-02-10,3811
1995-02-17,3799
1995-02-24,3436
